"barrio","barrio_corregido","comuna","zona"
"Constitución","Constitución",1,"B Este"
"Monserrat","Monserrat",1,"B Este"
"Puerto Madero","Puerto Madero",1,"B Este"
"Retiro","Retiro",1,"B Este"
"San Nicolás","San Nicolás",1,"B Este"
"San Telmo","San Telmo",1,"B Este"
"Barrio Norte","Recoleta",2,"B Este"
"Recoleta","Recoleta",2,"B Este"
"Balvanera","Balvanera",3,"B Este"
"San Cristobal","San Cristóbal",3,"B Este"
"Barracas","Barracas",4,"C Sur"
"Boca","La Boca",4,"C Sur"
"Pompeya","Nueva Pompeya",4,"C Sur"
"Parque Patricios","Parque Patricios",4,"C Sur"
"Almagro","Almagro",5,"D Oeste"
"Boedo","Boedo",5,"D Oeste"
"Caballito","Caballito",6,"D Oeste"
"Parque Centenario","Caballito",6,"D Oeste"
"Flores","Flores",7,"D Oeste"
"Parque Chacabuco","Parque Chacabuco",7,"D Oeste"
"Villa Riachuelo","Villa Riachuelo",8,"C Sur"
"Villa Lugano","Villa Lugano",8,"C Sur"
"Villa Soldati","Villa Soldati",8,"C Sur"
"Liniers","Liniers",9,"C Sur"
"Mataderos","Mataderos",9,"C Sur"
"Parque Avellaneda","Parque Avellaneda",9,"C Sur"
"Floresta","Floresta",10,"D Oeste"
"Monte Castro","Monte Castro",10,"D Oeste"
"Velez Sarsfield","Vélez Sarsfield",10,"D Oeste"
"Versalles","Versalles",10,"D Oeste"
"Villa Luro","Villa Luro",10,"D Oeste"
"Villa Real","Villa Real",10,"D Oeste"
"Villa del Parque","Villa del Parque",11,"D Oeste"
"Villa Devoto","Villa Devoto",11,"D Oeste"
"Villa General Mitre","Villa General Mitre",11,"D Oeste"
"Villa Santa Rita","Villa Santa Rita",11,"D Oeste"
"Coghlan","Coghlan",12,"A Norte"
"Saavedra","Saavedra",12,"A Norte"
"Villa Pueyrredón","Villa Pueyrredón",12,"A Norte"
"Villa Urquiza","Villa Urquiza",12,"A Norte"
"Belgrano","Belgrano",13,"A Norte"
"Colegiales","Colegiales",13,"A Norte"
"Nuñez","Nuñez",13,"A Norte"
"Las Cañitas","Palermo",14,"A Norte"
"Palermo","Palermo",14,"A Norte"
"Agronomía","Agronomía",15,"A Norte"
"Chacarita","Chacarita",15,"A Norte"
"Paternal","La Paternal",15,"A Norte"
"Parque Chas","Parque Chas",15,"A Norte"
"Villa Crespo","Villa Crespo",15,"A Norte"
"Villa Ortuzar","Villa Ortuzar",15,"A Norte"
